movie_title,pacing_efficiency,originality,family_friendly,plot_quality_rating,plot_quality_reasons_for_liking,plot_quality_reasons_for_disliking,dialogues,end_feeling_emotional_adjective,end_feeling_ending_rating,end_feeling_structural_adjective,immersive,impactful,overall_feeling,visuals,visual_effects,sound_audio_balance_issue,sound_bgm_quality,sound_song_tracks_quality,performance_of_actors,connected,references_contained,cognitive_requirement,technical_knowledge_required,photosensitivity_warnings,animal_harm,trailer_or_spoiler
Oldeuboi,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,5,2,4,2,3,1,1
Memento,5,5,2,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,5,4,5,1,1,5,1,1,1,5
Mononoke-hime,4,5,2,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,4,False,5,4,4,1,2,4,1,3,5,4
Once Upon a Time in America,3,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,5,ambiguous,5,5,5,5,4,False,5,5,5,1,2,5,1,1,4,5
Raiders of the Lost Ark,5,5,4,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,satisfying,5,5,5,5,5,False,5,5,5,5,4,3,1,2,3,4
The Shining,3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,neutral,5,ambiguous,5,5,5,5,5,False,5,5,5,5,3,5,2,3,1,4
Apocalypse Now,3,5,1,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,5,4,1,2,5,3
Alien,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,energized,5,satisfying,5,5,5,5,5,False,5,4,5,1,2,3,1,3,1,4
Anand,3,4,4,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,4,5,4,3,1,False,5,5,5,1,1,3,1,1,1,3
Tengoku to jigoku,5,5,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,4,False,5,4,5,1,1,4,1,1,1,4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,4,5,5,4,4,False,5,5,5,5,4,4,3,1,1,3
Witness for the Prosecution,4,4,3,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,energized,5,earned,5,5,5,4,3,False,4,3,5,3,3,4,1,1,1,5
Paths of Glory,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,4,3,False,4,5,5,1,1,4,2,1,1,3
Rear Window,4,5,3,5,"['strong_pacing', 'tight_structure']",[],5,neutral,4,satisfying,5,5,5,4,3,False,4,3,5,5,2,3,1,1,3,4
Sunset Blvd.,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,4,False,5,3,5,1,5,3,1,1,1,5
The Great Dictator,3,5,3,4,"['tight_structure', 'unpredictable']",[],4,energized,5,earned,4,5,4,4,3,False,4,4,5,5,5,3,1,1,1,3
1917,4,5,2,4,"['strong_pacing', 'tight_structure']",[],3,bittersweet,4,earned,5,5,4,5,4,False,5,1,4,1,1,3,1,4,3,3
Tumbbad,3,5,1,5,"['unpredictable', 'tight_structure']",[],3,sad,4,earned,5,5,5,5,4,False,5,4,4,1,2,3,1,2,3,4
Andhadhun,5,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,neutral,5,ambiguous,5,5,5,4,4,False,5,4,5,1,2,4,1,2,2,4
Drishyam,3,4,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],3,bittersweet,5,earned,4,4,4,3,3,False,4,3,5,1,4,4,1,1,1,5
Jagten,3,4,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,4,3,5,1,1,4,1,1,1,5
Jodaeiye Nader az Simin,4,5,2,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,neutral,5,earned,5,5,5,4,3,False,4,3,5,1,1,5,1,1,1,5
Incendies,3,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,sad,5,earned,5,5,5,4,3,False,4,4,5,1,1,5,1,1,1,3
Miracle in cell NO.7,3,3,3,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,5,earned,4,5,4,3,3,False,4,3,5,1,1,2,1,1,1,3
Babam ve Oglum,3,3,4,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,5,earned,4,5,4,3,3,False,4,4,5,3,3,3,1,1,1,4
Inglourious Basterds,4,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,4,5,4,False,5,5,5,5,5,3,1,2,1,3
Eternal Sunshine of the Spotless Mind,4,5,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,satisfying,5,5,5,4,5,False,5,5,5,1,1,4,1,1,1,3
Amélie,3,5,4,4,"['unpredictable', 'tight_structure']",['predictable'],4,happy,4,satisfying,5,5,4,5,4,False,5,5,5,1,2,3,1,1,1,3
Snatch,5,4,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,4,earned,5,5,4,4,3,False,4,5,5,4,3,4,1,2,2,4
Requiem for a Dream,4,5,1,5,"['strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,5,4,False,5,5,5,1,1,4,1,5,1,4
American Beauty,3,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,5,earned,4,5,5,5,3,False,5,3,5,1,1,4,1,1,1,3
Good Will Hunting,4,4,2,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,4,5,4,3,3,False,4,4,5,4,2,3,1,1,1,3
Bacheha-Ye aseman,3,5,5,5,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,5,5,5,False,4,4,5,5,1,2,1,1,1,3
Toy Story,5,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,5,5,5,5,5,False,5,5,5,1,1,2,1,1,1,1
Braveheart,3,3,1,4,"['strong_pacing', 'tight_structure']","['cliche', 'narrative_inconsistency']",3,bittersweet,5,earned,4,5,4,4,4,False,5,5,4,4,4,2,1,2,5,2
Reservoir Dogs,4,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,sad,5,earned,5,5,5,4,3,False,5,5,5,1,5,3,1,1,1,5
Full Metal Jacket,3,4,1,4,"['unpredictable', 'tight_structure']",['narrative_inconsistency'],5,sad,4,ambiguous,4,5,4,4,4,False,4,5,5,1,1,4,1,1,1,3
Idi i smotri,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,5,4,False,5,3,5,1,1,5,2,4,1,4
Aliens,5,5,1,5,"['strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,5,5,False,5,4,5,5,5,2,1,3,1,4
Amadeus,4,5,2,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,1,4,1,1,1,3
Scarface,3,4,1,4,"['strong_pacing', 'tight_structure']",['predictable'],5,neutral,5,earned,4,5,4,4,3,False,5,5,5,1,1,3,1,3,1,3
Star Wars: Episode VI - Return of the Jedi,3,3,4,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",3,happy,5,satisfying,4,5,4,5,5,False,5,5,4,5,5,2,1,2,1,4
Das Boot,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,5,False,5,4,5,1,1,4,2,4,1,5
Taxi Driver,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,ambiguous,5,5,5,5,3,False,5,4,5,1,1,4,1,3,1,3
The Sting,4,4,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,4,4,False,5,5,5,1,1,4,1,1,1,5
A Clockwork Orange,3,5,1,5,"['unpredictable', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,4,False,5,4,5,1,2,5,1,4,1,3
2001: A Space Odyssey,3,5,3,4,"['unpredictable', 'tight_structure']",[],2,energized,5,ambiguous,5,5,5,5,5,False,5,5,3,1,1,5,3,5,1,3
Per qualche dollaro in più,4,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,4,5,3,False,5,5,5,5,3,3,1,1,2,3
Lawrence of Arabia,3,5,2,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,4,False,5,5,5,1,3,4,1,1,3,2
The Apartment,4,5,2,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,4,5,5,4,3,False,4,4,5,1,2,3,1,1,1,1
North by Northwest,5,4,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,happy,5,earned,5,5,5,5,4,False,5,4,5,1,2,3,1,1,1,5
Vertigo,4,5,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,sad,5,earned,5,5,5,5,5,False,5,3,5,1,1,4,2,1,1,4
Singin' in the Rain,4,4,5,4,"['strong_pacing', 'tight_structure']",[],4,happy,4,satisfying,4,5,5,5,4,False,5,5,5,3,3,1,1,1,1,3
Ikiru,3,5,2,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,5,5,5,1,1,4,1,1,1,3
Ladri di biciclette,3,5,3,5,"['strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,4,1,False,4,3,5,1,1,3,1,1,1,3
Double Indemnity,5,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,1,1,3,1,1,1,5
Citizen Kane,4,5,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,5,False,5,4,5,1,1,4,2,1,1,5
M - Eine Stadt sucht einen Mörder,4,5,1,5,"['strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,4,False,4,3,5,1,1,4,1,1,1,3
Metropolis,2,5,2,4,"['unpredictable', 'plot_twists']",['predictable'],1,bittersweet,3,satisfying,5,5,4,5,5,False,5,5,4,4,5,4,2,3,1,2
The Kid,3,5,5,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,satisfying,4,5,4,4,3,False,4,4,5,1,1,2,1,1,1,1
Chhichhore,4,3,5,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,energized,4,earned,4,4,4,3,3,False,4,4,4,3,3,2,1,1,1,3
Uri: The Surgical Strike,4,2,3,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,energized,4,satisfying,4,5,4,4,4,False,4,4,5,1,2,2,2,3,3,4
K.G.F: Chapter 1,4,3,1,2,['strong_pacing'],"['plot_holes', 'narrative_inconsistency']",3,energized,4,ambiguous,4,5,3,4,3,False,5,4,4,4,3,3,1,3,1,3
Green Book,3,2,3,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,bittersweet,3,satisfying,3,3,3,3,3,False,3,3,5,1,2,2,1,1,1,3
"Three Billboards Outside Ebbing, Missouri",4,4,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,ambiguous,4,5,4,3,3,False,4,4,5,1,1,4,1,1,2,3
Talvar,4,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,neutral,5,ambiguous,4,5,4,3,3,False,5,4,5,1,1,5,2,1,1,3
Baahubali 2: The Conclusion,3,4,3,4,"['plot_twists', 'strong_pacing', 'tight_structure']",['cliche'],4,energized,4,satisfying,5,5,4,5,4,False,5,4,5,5,4,2,1,3,1,4
Klaus,5,5,5,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,5,5,False,5,4,5,1,1,2,1,1,1,3
Drishyam,3,4,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],3,bittersweet,5,earned,4,4,4,3,3,False,4,3,5,1,4,4,1,1,1,5
Queen,4,5,4,4,['tight_structure'],[],5,energized,5,earned,5,5,5,4,3,False,5,5,5,1,1,2,1,1,1,3
Mandariinid,3,4,2,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,4,5,4,3,3,False,4,3,5,1,2,4,1,1,1,4
Bhaag Milkha Bhaag,3,3,4,4,"['unpredictable', 'strong_pacing', 'tight_structure']",['cliche'],4,energized,4,earned,4,4,4,4,3,False,4,5,5,1,1,2,1,1,1,4
Gangs of Wasseypur,3,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",['narrative_inconsistency'],5,bittersweet,4,earned,5,5,4,4,3,False,5,5,5,3,4,4,2,3,4,3
Udaan,3,5,2,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,5,4,4,3,False,5,5,5,1,1,4,1,1,1,3
Paan Singh Tomar,3,4,3,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,4,earned,4,4,4,3,3,False,3,3,5,1,1,3,1,1,1,3
El secreto de sus ojos,4,4,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,4,5,4,4,3,False,4,3,5,4,2,4,1,1,1,3
Warrior,4,3,2,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,4,4,3,3,False,4,3,5,4,1,2,1,1,1,3
Shutter Island,3,3,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",['predictable'],3,bittersweet,5,earned,4,4,4,4,4,False,5,4,5,1,4,4,1,3,1,2
Up,4,5,5,4,"['unpredictable', 'plot_twists', 'strong_pacing']",[],4,bittersweet,5,satisfying,5,5,5,5,5,False,5,5,5,1,3,3,1,1,1,3
The Wolf of Wall Street,5,4,1,4,"['strong_pacing', 'tight_structure', 'unpredictable']",[],5,neutral,4,earned,5,5,4,4,3,False,5,5,5,1,4,3,2,2,1,3
Chak De! India,4,4,5,4,"['strong_pacing', 'tight_structure']",['predictable'],5,energized,5,satisfying,4,5,5,3,3,False,5,5,5,4,1,2,2,1,1,3
There Will Be Blood,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,1,4,1,1,3,3
